location_name,latitude,longitude,place_id,scrape_timestamp
Resorts World Las Vegas,36.134011,-115.167855,0x80c8c40d424ec785:0x46f0f1df163094c4,2026-03-10T00:32:13.757277
Wynn Las Vegas,36.126119,-115.161958,0x80c8c422de2a8695:0xb1c13b73cbbb6fed,2026-03-10T00:32:22.811445
Encore at Wynn,36.12944,-115.164314,0x80c8c2cc6478404b:0x99211dfe55920dc6,2026-03-10T00:32:32.443598
The Venetian Resort,36.121174,-115.169653,0x80c8c415ac77058b:0xa1b4397e7377d345,2026-03-10T00:34:31.424430
The Mirage,36.12058,-115.181568,0x80c8c43d09f90ee3:0x14e750bb342e9a8e,2026-03-10T01:18:32.289996
Flamingo Las Vegas,36.116638,-115.17039,0x80c8c43bca8fd755:0x645b9d40c4e2ea75,2026-03-10T02:19:54.955964
Caesars Palace,36.117261,-115.176141,0x80c8c43c44cae095:0x77c9c8f2a2af3ff7,2026-03-10T02:56:12.822600
The Drew Las Vegas (Fontainebleau),36.137397,-115.159435,0x80c8c57ddfb701f5:0xd02b955c78c33b74,2026-03-10T03:17:30.599635
Circus Circus,36.136657,-115.162854,0x80c8c40cdc682b99:0x13e0487c787924f4,2026-03-10T03:36:25.511355
SLS Las Vegas (Sahara),36.142355,-115.156723,0x80c8c476d44caf15:0x6b876068ced54096,2026-03-10T03:55:48.112184
SW Steakhouse (Wynn),36.126223,-115.16673,0x80c8c414f11eb46f:0x70dfff96dbb0c2c1,2026-03-10T04:47:01.046512
Mizumi (Wynn),36.126869,-115.167379,0x80c8c414d0ac7c03:0xac737b08a68b35f8,2026-03-10T05:06:20.877468
Delilah (Wynn),36.127107,-115.16483,0x80c8c553f90e208d:0x55108301fa1608d5,2026-03-10T05:28:21.313135
TAO Asian Bistro (The Venetian),36.12266,-115.170087,0x80c8c43dd0887e9d:0x86765d15e7373310,2026-03-10T05:48:14.121956
Buddy V's Ristorante (The Venetian),36.123214,-115.170118,0x80c8c4158124f899:0x481e9b9e49ac4b20,2026-03-10T06:10:47.117649
Bouchon (The Venetian),36.120918,-115.169239,0x80c8c43e35d67c45:0x269c618b499196c,2026-03-10T06:32:25.766427
Guy Fieri's Vegas Kitchen (The LINQ),36.118438,-115.172402,0x80c8c43c0aa3346b:0x8a95e0f4fb378950,2026-03-10T07:21:48.268403
The Cosmopolitan,36.10996,-115.175416,0x80c8c43105c1ff4f:0x6d0f5e8df39e7c48,2026-03-10T09:13:57.532158
The Palazzo,36.124005,-115.167958,0x80c8c43e066c37f5:0x456ebddfe21d0455,2026-03-10T10:05:45.839650
Gordon Ramsay Fish & Chips (The LINQ),36.117622,-115.171919,0x80c8c43bf4afd3d7:0xd8a44faac2dffa02,2026-03-10T10:06:39.113288
Nobu Restaurant (Caesars Palace),36.116849,-115.17531,0x80c8c43b67b67201:0x344a66dc717893d9,2026-03-10T10:06:48.429965
Bellagio,36.112946,-115.176507,0x80c8c430cb5147bd:0x82f2c7c5d9d10d84,2026-03-10T10:07:11.297442
ARIA Resort & Casino,36.10737,-115.176753,0x80c8c42e1d156485:0x2ef3882f44b3056f,2026-03-10T10:07:24.690698
Planet Hollywood,36.10997,-115.170065,0x80c8c43661d137ab:0x7c546576745a059c,2026-03-10T10:07:32.881261
Paris Las Vegas,36.112462,-115.170708,0x80c8c36c00000001:0x4544b406fe1e5c01,2026-03-10T10:35:05.681973
Bally's Las Vegas (Horseshoe),36.113714,-115.167789,0x80c8c439f73ad327:0x6df9db9e3fa590e0,2026-03-10T11:11:11.925928
Treasure Island (TI),36.124746,-115.172083,0x80c8c43aaa9a0bb3:0x98b9469bc134713,2026-03-10T16:50:57.617137
Harrah's Las Vegas,36.119464,-115.171639,0x80c8c43c30901b5b:0xe11c6128da3d0eb3,2026-03-10T16:51:04.849084
The LINQ Hotel + Experience,36.118228,-115.171351,0x80c8c43c0ad858b9:0x7a779b119e53e345,2026-03-10T16:51:11.968618
Casino Royale,36.120631,-115.17196,0x80c8c43c28feebe3:0x26a3ab07454ba46,2026-03-10T16:51:27.568856
Fashion Show Mall,36.127478,-115.171197,0x80c8c416bb87274b:0x49c25d43561312c5,2026-03-10T16:51:35.509409
Hell's Kitchen (Caesars Palace),36.11573,-115.173232,0x80c8c43b1322fc8f:0x7683e26946939a4b,2026-03-10T16:51:44.698184
Mr. Chow (Caesars Palace),36.11649,-115.176146,0x80c8c43c44cae095:0x7676314e22072e37,2026-03-10T16:51:51.308905
The Signature at MGM Grand,36.106028,-115.166753,0x80c8c4350d677303:0xd4991c46c5cb9337,2026-03-10T17:12:40.358773
Tropicana Las Vegas,36.098812,-115.170389,0x80c8c43337b3d2c7:0xfd6624d1918aa70,2026-03-10T17:22:42.075694
Mandalay Bay,36.092185,-115.174858,0x80c8c5cffb824261:0x97f68a25c5b4ddef,2026-03-10T18:27:08.326442
Waldorf Astoria Las Vegas,36.106433,-115.173732,0x80c8c5171374e1c7:0x868c058c68d09c1d,2026-03-10T19:16:39.405389
Lago by Julian Serrano (Bellagio),36.113304,-115.175054,0x80c8c43a93e254bf:0x3dc895706941297,2026-03-10T19:26:27.650958
Harvest by Roy Ellamar (Bellagio),36.111465,-115.177383,0x80c8c4256f0bca55:0x40e410f11111e7a0,2026-03-10T19:42:14.351058
Jean Georges Steakhouse (ARIA),36.107349,-115.176584,0x80c8c431e35b9f01:0xbabda8f7a6449948,2026-03-10T20:06:31.265143
Carbone (ARIA),36.107342,-115.177115,0x80c8c431fe0a1aa1:0xd1f3fca349cf0880,2026-03-10T20:16:21.239456
Momofuku (The Cosmopolitan),36.109853,-115.174152,0x80c8c43a39cd9faf:0xdcc597c4f71eb26a,2026-03-10T20:17:28.444401
Mon Ami Gabi (Paris Las Vegas),36.112863,-115.172485,0x80c8c4375b2e62dd:0xc249a313f7e029dc,2026-03-10T20:44:05.613956
Eiffel Tower Restaurant (Paris Las Vegas),36.112466,-115.172192,0x80c8c430cb5147bd:0x78b11e89f6455a23,2026-03-10T21:03:48.026185
Joël Robuchon (MGM Grand),36.101993,-115.169106,0x80c8c5a2badc4225:0x6481f856cb8998ba,2026-03-10T21:04:50.623701
Emeril's New Orleans Fish House (MGM Grand),36.102847,-115.168487,0x80c8c5cc93820e25:0xb0224cba492b375e,2026-03-10T21:24:47.996124
Strip House (Planet Hollywood),36.110532,-115.172214,0x80c8c43661d137ab:0x591a18a8cbd7e708,2026-03-10T21:34:40.934948
Lupo by Wolfgang Puck (Mandalay Bay),36.091919,-115.176656,0x80c8c5cff405880d:0x65489e62e9fa3f96,2026-03-10T21:44:53.098119
Rivea (Delano Las Vegas),36.093093,-115.177702,0x80c8c5d023a84fb3:0xa036c79ec4b7a791,2026-03-10T21:48:12.320621
The Cromwell,36.115015,-115.171803,0x80c8c43a255c3435:0xafdca3bc0a70dfb8,2026-03-10T23:26:29.942534
